投诉编号,投诉品牌,投诉车系,投诉车型,问题简述_链接,问题简述,典型问题_链接,典型问题,典型问题_链接1,典型问题2,典型问题_链接3,典型问题4,典型问题_链接5,典型问题6,典型问题_链接7,典型问题8,投诉时间,投诉状态
486691,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,http://www.12365auto.com/zlts/20200621/486691.shtml,一汽大众奥迪A4L空调风口吹自然风有异味,http://www.12365auto.com/zlts/114-3-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/114-3-0-0-0-0_121-0-0-0-0-0-0-1.shtml,空调异味,http://www.12365auto.com/zlts/114-3-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-3-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-3-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,http://www.12365auto.com/zlts/20200621/486690.shtml,上汽大众途观L车辆无法启动要求厂家处理,http://www.12365auto.com/zlts/140-2014-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/140-2014-0-0-0-0_22-0-0-0-0-0-0-1.shtml,漏油,http://www.12365auto.com/zlts/140-2014-0-0-0-0_74-0-0-0-0-0-0-1.shtml,ABS故障,http://www.12365auto.com/zlts/140-2014-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/140-2014-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486684,比亚迪,比亚迪e5,2018款 450 智联 畅享型,http://www.12365auto.com/zlts/20200621/486684.shtml,比亚迪e5动力电池故障4S店服务态度恶劣,http://www.12365auto.com/zlts/123-1894-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/123-1894-0-0-0-0_343-0-0-0-0-0-0-1.shtml,动力电池故障,http://www.12365auto.com/zlts/123-1894-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/123-1894-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/123-1894-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,厂家受理
486683,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,http://www.12365auto.com/zlts/20200621/486683.shtml,东风本田杰德左前升降器故障4S店拒赔,http://www.12365auto.com/zlts/119-1303-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/119-1303-0-0-0-0_72-0-0-0-0-0-0-1.shtml,门窗异响,http://www.12365auto.com/zlts/119-1303-0-0-0-0_67-0-0-0-0-0-0-1.shtml,车窗升降故障,http://www.12365auto.com/zlts/119-1303-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/119-1303-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486682,东风乘用车,风神AX7,2016款 2.0L 自动 智悦型,http://www.12365auto.com/zlts/20200621/486682.shtml,东风风神AX7车身生锈腐蚀希望厂家处理,http://www.12365auto.com/zlts/144-1537-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/144-1537-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,http://www.12365auto.com/zlts/144-1537-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/144-1537-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/144-1537-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486677,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国V,http://www.12365auto.com/zlts/20200621/486677.shtml,东风本田UR-V后备箱严重漏水车胎偏磨,http://www.12365auto.com/zlts/119-2050-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/119-2050-0-0-0-0_245-0-0-0-0-0-0-1.shtml,吃胎偏磨,,,,,,,2020-06-21,厂家受理
486675,上汽大通,上汽MAXUS G10,2021款 2.0T 手动 精英版 柴油 7座,http://www.12365auto.com/zlts/20200621/486675.shtml,上汽大通G10后备箱门把手断裂厂家拒赔,http://www.12365auto.com/zlts/322-1452-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/322-1452-0-0-0-0_233-0-0-0-0-0-0-1.shtml,车门把手故障,http://www.12365auto.com/zlts/322-1452-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/322-1452-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/322-1452-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,厂家受理
486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,http://www.12365auto.com/zlts/20200621/486672.shtml,上汽大众朗逸车内异响服务态度恶劣,http://www.12365auto.com/zlts/140-220-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-220-0-0-0-0_164-0-0-0-0-0-0-1.shtml,车内异响,,,,,,,2020-06-21,信息审核
486661,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,http://www.12365auto.com/zlts/20200621/486661.shtml,一汽大众捷达VS5低速行驶中右前轮异响,http://www.12365auto.com/zlts/537-2637-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/537-2637-0-0-0-0_125-0-0-0-0-0-0-1.shtml,车轮异响,,,,,,,2020-06-21,信息审核
486655,吉利汽车,星越,2019款 300T 耀星者,http://www.12365auto.com/zlts/20200621/486655.shtml,吉利星越车机系统出现死机现象希望尽快处理,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_155-0-0-0-0-0-0-1.shtml,车载互联故障,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486653,东风风行,景逸X3,2016款 1.5L 豪华型,http://www.12365auto.com/zlts/20200621/486653.shtml,东风风行景逸X3行驶中右后下摆臂断裂,http://www.12365auto.com/zlts/310-1437-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/310-1437-0-0-0-0_210-0-0-0-0-0-0-1.shtml,下摆臂故障,http://www.12365auto.com/zlts/310-1437-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,,,,,2020-06-21,信息审核
486650,吉利汽车,星越,2019款 350T 耀星者,http://www.12365auto.com/zlts/20200621/486650.shtml,吉利星越车机系统黑屏版本与宣传不符,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_155-0-0-0-0-0-0-1.shtml,车载互联故障,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486648,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,http://www.12365auto.com/zlts/20200621/486648.shtml,吉利博越雾灯以及挡位灯与宣传不符,,,http://www.12365auto.com/zlts/172-1892-0-0-0-0_0-0-0-0-1-0-0-1.shtml,其他,,,,,,,2020-06-21,信息审核
486643,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,http://www.12365auto.com/zlts/20200621/486643.shtml,吉利博越实车配置与宣传不符要求解决,,,http://www.12365auto.com/zlts/172-1892-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,,,http://www.12365auto.com/zlts/172-1892-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-1892-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486642,长城汽车,长城C30,2016款 1.5L AMT 豪华型,http://www.12365auto.com/zlts/20200621/486642.shtml,长城C30变速箱挂挡异响车身生锈,http://www.12365auto.com/zlts/137-194-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/137-194-0-0-0-0_9-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/137-194-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,,,,,2020-06-21,信息审核
486641,北京现代,领动,2020款 1.4T 双离合 炫动·旗舰型,http://www.12365auto.com/zlts/20200621/486641.shtml,北京现代领动发动机漏油变速箱起步顿挫,http://www.12365auto.com/zlts/254-1890-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/254-1890-0-0-0-0_12-0-0-0-0-0-0-1.shtml,漏油,http://www.12365auto.com/zlts/254-1890-0-0-0-0_189-0-0-0-0-0-0-1.shtml,涡轮增压器故障,,,,,2020-06-21,信息审核
486638,一汽-大众奥迪,奥迪A6L,2018款 30 FSI CVT 风尚型,http://www.12365auto.com/zlts/20200621/486638.shtml,一汽大众奥迪A6L天窗漏水4S店维修多次,http://www.12365auto.com/zlts/114-1-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/114-1-0-0-0-0_90-0-0-0-0-0-0-1.shtml,天窗漏水,http://www.12365auto.com/zlts/114-1-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-1-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-1-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486637,吉利汽车,星越,2019款 350T AWD 驭星者,http://www.12365auto.com/zlts/20200621/486637.shtml,吉利星越车机与宣传不符 内饰异响,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_93-0-0-0-0-0-0-1.shtml,中控台异响,,,,,,,2020-06-21,信息审核
486634,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,http://www.12365auto.com/zlts/20200621/486634.shtml,一汽丰田卡罗拉后挡风玻璃自动爆裂,http://www.12365auto.com/zlts/150-286-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/150-286-0-0-0-0_113-0-0-0-0-0-0-1.shtml,玻璃开裂,,,,,,,2020-06-21,信息审核
486632,东风日产,天籁,2016款 2.0L XL 舒适版 改款,http://www.12365auto.com/zlts/20200621/486632.shtml,东风日产天籁仪表盘开裂 厂家不索赔,http://www.12365auto.com/zlts/225-690-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/225-690-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,http://www.12365auto.com/zlts/225-690-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/225-690-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/225-690-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486631,一汽-大众,宝来,2019款 1.5L 自动 精英型,http://www.12365auto.com/zlts/20200621/486631.shtml,一汽大众宝来电池电量不足自动启停无法激活,http://www.12365auto.com/zlts/141-232-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/141-232-0-0-0-0_146-0-0-0-0-0-0-1.shtml,电瓶故障,,,,,,,2020-06-21,信息审核
486630,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,http://www.12365auto.com/zlts/20200621/486630.shtml,吉利博越实车变速箱没有挡位灯指示,,,http://www.12365auto.com/zlts/172-1892-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,,,http://www.12365auto.com/zlts/172-1892-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-1892-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486627,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,http://www.12365auto.com/zlts/20200621/486627.shtml,吉利帝豪GS发动机异响车身生锈厂家不处理,http://www.12365auto.com/zlts/172-1915-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/172-1915-0-0-0-0_9-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/172-1915-0-0-0-0_33-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/172-1915-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/172-1915-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486626,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,http://www.12365auto.com/zlts/20200621/486626.shtml,广汽丰田凯美瑞左前半轴油封漏油,http://www.12365auto.com/zlts/151-296-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/151-296-0-0-0-0_51-0-0-0-0-0-0-1.shtml,半轴渗油,,,,,,,2020-06-21,信息审核
486624,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,http://www.12365auto.com/zlts/20200621/486624.shtml,广汽本田雅阁发动机渗油异响希望厂家处理,http://www.12365auto.com/zlts/118-28-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/118-28-0-0-0-0_9-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/118-28-0-0-0-0_12-0-0-0-0-0-0-1.shtml,漏油,,,,,2020-06-21,信息审核
486623,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,http://www.12365auto.com/zlts/20200621/486623.shtml,长安CS35行驶中方向盘跑偏无法解决,http://www.12365auto.com/zlts/136-1220-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/136-1220-0-0-0-0_117-0-0-0-0-0-0-1.shtml,跑偏,,,,,,,2020-06-21,信息审核
486621,东风标致,标致408,2015款 1.2T 自动 豪华版,http://www.12365auto.com/zlts/20200621/486621.shtml,东风标致408行驶中加速出现失速车辆抖动,http://www.12365auto.com/zlts/130-125-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/130-125-0-0-0-0_24-0-0-0-0-0-0-1.shtml,抖动,http://www.12365auto.com/zlts/130-125-0-0-0-0_160-0-0-0-0-0-0-1.shtml,无法提速,http://www.12365auto.com/zlts/130-125-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/130-125-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486619,上汽大众,朗逸,2017款 1.6L 自动 舒适版,http://www.12365auto.com/zlts/20200621/486619.shtml,上汽大众朗逸车内异味严重4S店不给解决,http://www.12365auto.com/zlts/140-220-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-220-0-0-0-0_185-0-0-0-0-0-0-1.shtml,车内异味,,,,,,,2020-06-21,信息审核
486615,吉利汽车,星越,2019款 350T 驭星者,http://www.12365auto.com/zlts/20200621/486615.shtml,吉利星越车机系统升级后未能解决问题,,,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-7-0-0-0-0-0-1.shtml,服务流程不完善,,,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-7-0-0-0-0-0-1.shtml,服务流程不完善,http://www.12365auto.com/zlts/172-2527-0-0-0-0_348-0-0-0-0-0-0-1.shtml,系统升级问题,2020-06-21,信息审核
486613,吉利汽车,星越,2019款 改款 350T 耀星者,http://www.12365auto.com/zlts/20200621/486613.shtml,吉利星越车机系统死机与官方宣传不一致,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_155-0-0-0-0-0-0-1.shtml,车载互联故障,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486611,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,http://www.12365auto.com/zlts/20200621/486611.shtml,吉利嘉际轻混电动机噪音大4S店无法解决,http://www.12365auto.com/zlts/172-2471-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/172-2471-0-0-0-0_342-0-0-0-0-0-0-1.shtml,电动机异响,http://www.12365auto.com/zlts/172-2471-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/172-2471-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/172-2471-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486608,广汽丰田,凯美瑞,2016款 2.5G 自动 十周年纪念豪华导航版,http://www.12365auto.com/zlts/20200621/486608.shtml,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,http://www.12365auto.com/zlts/151-296-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/151-296-0-0-0-0_161-0-0-0-0-0-0-1.shtml,球笼套漏油,http://www.12365auto.com/zlts/151-296-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/151-296-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/151-296-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486597,上汽大众,Polo,2016款 1.6L 自动 豪华型,http://www.12365auto.com/zlts/20200621/486597.shtml,上汽大众Polo轮胎偏磨4S店私自维修无单据,http://www.12365auto.com/zlts/140-1131-0-0-0-6_0-0-0-0-0-0-0-1.shtml,轮胎,http://www.12365auto.com/zlts/140-1131-0-0-0-0_10-0-0-0-0-0-0-1.shtml,磨损,http://www.12365auto.com/zlts/140-1131-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/140-1131-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/140-1131-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486592,吉利汽车,星越,2019款 350T 耀星者,http://www.12365auto.com/zlts/20200621/486592.shtml,吉利星越车机死机硬件与宣传不符要求更换,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_155-0-0-0-0-0-0-1.shtml,车载互联故障,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
486588,上汽斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座,http://www.12365auto.com/zlts/20200621/486588.shtml,上汽斯柯达柯迪亚克发动机共振中控台异响,http://www.12365auto.com/zlts/232-2054-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/232-2054-0-0-0-0_24-0-0-0-0-0-0-1.shtml,抖动,http://www.12365auto.com/zlts/232-2054-0-0-0-0_164-0-0-0-0-0-0-1.shtml,车内异响,http://www.12365auto.com/zlts/232-2054-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/232-2054-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486587,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,http://www.12365auto.com/zlts/20200621/486587.shtml,长安马自达昂克赛拉中控屏开裂4S店不保修,http://www.12365auto.com/zlts/208-1470-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/208-1470-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,http://www.12365auto.com/zlts/208-1470-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/208-1470-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/208-1470-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486585,东风雪铁龙,C4世嘉,2016款 1.2THP 自动 旗舰型,http://www.12365auto.com/zlts/20200621/486585.shtml,雪铁龙C4世嘉方向管柱松动 ABS传感器故障,http://www.12365auto.com/zlts/256-1770-0-0-0-4_0-0-0-0-0-0-0-1.shtml,转向系统,http://www.12365auto.com/zlts/256-1770-0-0-0-0_265-0-0-0-0-0-0-1.shtml,转向机故障,http://www.12365auto.com/zlts/256-1770-0-0-0-0_74-0-0-0-0-0-0-1.shtml,ABS故障,,,,,2020-06-21,信息审核
486584,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,http://www.12365auto.com/zlts/20200621/486584.shtml,一汽大众探岳大灯模糊 影响照明,http://www.12365auto.com/zlts/141-2395-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/141-2395-0-0-0-0_82-0-0-0-0-0-0-1.shtml,车灯不亮,,,,,,,2020-06-21,信息审核
486577,东风英菲尼迪,英菲尼迪Q50L,2015款 2.0T 自动 舒适版,http://www.12365auto.com/zlts/20200621/486577.shtml,东风英菲尼迪Q50L开热风时车内存在汽油味,http://www.12365auto.com/zlts/381-1533-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/381-1533-0-0-0-0_101-0-0-0-0-0-0-1.shtml,空调问题,,,,,,,2020-06-21,信息审核
486576,江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,http://www.12365auto.com/zlts/20200621/486576.shtml,江淮嘉悦A5后备箱门把手装饰板松动,http://www.12365auto.com/zlts/176-2723-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/176-2723-0-0-0-0_179-0-0-0-0-0-0-1.shtml,车身装饰脱落,http://www.12365auto.com/zlts/176-2723-0-0-0-0_233-0-0-0-0-0-0-1.shtml,车门把手故障,,,,,2020-06-21,信息审核
486575,蔚来,蔚来ES8,2018款 创始版,http://www.12365auto.com/zlts/20200621/486575.shtml,蔚来ES8自动驾驶辅助摄像头故障,http://www.12365auto.com/zlts/469-2219-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/469-2219-0-0-0-0_134-0-0-0-0-0-0-1.shtml,影音系统故障,,,,,,,2020-06-21,信息审核
486574,东风本田,INSPIRE,2019款 锐·混动 2.0L 净雅版 国VI,http://www.12365auto.com/zlts/20200621/486574.shtml,东风本田INSPIRE锈蚀严重4S店服务态度恶劣,http://www.12365auto.com/zlts/119-2403-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/119-2403-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,http://www.12365auto.com/zlts/119-2403-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/119-2403-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/119-2403-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486570,北京奔驰,奔驰GLC,2019款 GLC 260 4MATIC 动感型,http://www.12365auto.com/zlts/20200621/486570.shtml,北京奔驰GLC减震器漏油 刹车异响眼镜盒脱落,http://www.12365auto.com/zlts/127-1790-0-0-0-5_0-0-0-0-0-0-0-1.shtml,制动系统,http://www.12365auto.com/zlts/127-1790-0-0-0-0_43-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/127-1790-0-0-0-0_25-0-0-0-0-0-0-1.shtml,减震器漏油,,,,,2020-06-21,信息审核
486568,上汽大通,上汽MAXUS G50,2019款 1.5T 自动 豪华版 国V,http://www.12365auto.com/zlts/20200621/486568.shtml,上汽大通G50冷媒泄漏 空调不制冷,http://www.12365auto.com/zlts/322-2420-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/322-2420-0-0-0-0_101-0-0-0-0-0-0-1.shtml,空调问题,,,,,,,2020-06-21,厂家受理
